Idade,RendaAnual,PropriedadeCasa,DuracaoEmprego,IntencaoEmprestimo,GrauEmprestimo,ValorEmprestimo,TaxaJuro,StatusEmprestimo,RendaPercentual,InadimplênciaHistórica,HistóricoCredito
26,3,3,1,2,1,2,3,2,3,2,2
23,3,3,1,5,1,1,2,2,2,2,3
21,2,2,1,1,1,1,3,2,2,2,3
23,3,2,1,6,1,1,3,2,2,2,2
23,3,3,1,4,1,2,3,2,2,2,3
22,4,2,1,1,1,1,2,2,1,2,4
23,4,2,1,6,1,1,3,2,1,2,2
23,3,3,1,1,1,2,2,2,3,2,3
23,3,2,1,6,1,1,3,2,2,2,2
23,5,2,1,5,1,1,3,2,1,2,2
23,2,2,1,6,2,1,1,1,2,2,2
21,3,3,1,1,1,2,2,2,2,1,3
22,3,3,1,6,1,2,3,2,2,2,4
22,2,2,1,3,1,1,2,2,2,1,4
25,3,3,2,2,1,2,3,2,2,2,2
22,3,3,1,3,1,3,3,2,5,2,2
22,2,2,1,2,1,1,3,1,4,2,4
25,2,2,1,6,1,1,2,1,3,1,4
21,2,2,1,6,1,1,3,2,2,2,2
23,2,2,2,6,1,1,3,2,2,2,4
25,3,2,1,6,2,1,2,1,2,2,2
22,3,2,1,3,2,1,1,1,2,1,4
22,3,2,1,1,1,1,3,2,1,2,4
26,3,2,2,4,1,1,2,2,1,2,3
23,4,2,1,3,1,1,3,2,1,2,4
23,4,2,1,1,2,1,1,1,1,1,3
23,5,2,1,3,1,1,2,2,1,1,4
26,2,2,1,6,1,1,2,2,2,2,4
22,3,3,1,6,1,2,3,2,3,2,2
22,2,2,1,5,1,1,1,1,2,2,3
22,3,3,1,3,1,2,3,2,3,2,3
24,3,2,1,5,1,1,2,2,2,2,4
25,3,3,2,2,1,2,3,2,3,2,4
23,3,1,1,5,1,2,2,2,2,2,4
24,3,2,1,1,1,1,2,2,2,1,4
22,3,3,1,1,1,1,3,2,2,2,2
23,3,2,1,6,1,1,3,2,1,2,4
24,3,3,2,4,1,2,2,2,2,2,3
22,2,2,1,3,1,1,3,2,2,2,3
25,3,3,1,4,1,2,3,2,2,2,2
24,3,2,1,1,1,1,2,2,2,1,3
25,3,2,1,5,1,1,2,2,1,2,2
23,3,1,1,5,1,3,2,2,5,2,4
22,3,2,1,1,1,1,3,2,1,2,4
22,2,2,1,5,1,1,3,1,4,2,3
22,2,2,1,4,1,1,2,1,4,2,4
22,3,3,1,1,1,1,3,2,2,2,2
25,3,3,1,6,1,2,2,1,3,2,2
24,2,2,1,4,1,1,3,1,4,2,2
22,3,3,1,1,1,1,3,2,2,2,3
25,2,2,1,4,2,1,1,1,4,1,3
24,2,2,1,5,2,1,1,1,4,1,3
24,2,2,1,1,1,1,3,1,4,2,3
21,2,2,1,2,1,1,3,1,4,2,3
22,2,2,1,2,1,1,3,1,3,2,4
22,3,3,1,3,1,1,3,2,2,2,2
24,3,3,1,2,1,2,3,2,3,2,3
23,2,2,1,5,1,1,2,1,3,2,3
21,3,1,1,1,1,3,2,2,4,2,3
24,3,1,1,5,1,2,2,2,3,2,2
22,2,2,1,5,2,1,2,1,3,2,2
22,2,2,1,6,1,1,2,1,3,1,2
25,3,3,1,3,1,1,2,2,1,2,3
22,2,2,1,1,1,1,2,1,3,2,2
26,3,3,2,3,2,3,1,1,5,2,3
24,2,2,1,3,2,1,1,1,3,2,2
22,2,2,1,1,1,1,2,1,3,1,2
22,2,2,1,6,1,1,2,1,3,2,4
22,2,2,1,4,1,1,2,1,3,2,4
21,2,2,1,6,1,1,2,1,3,1,4
24,3,3,1,2,1,3,2,2,5,2,3
22,2,2,1,3,1,1,2,1,3,2,4
23,2,2,1,4,1,1,2,1,3,2,2
24,2,2,1,1,1,1,2,1,3,1,4
25,2,2,1,6,1,1,2,1,3,1,4
22,2,2,1,1,1,1,2,1,3,1,4
23,2,2,1,1,2,1,1,1,3,2,4
21,2,2,1,1,1,1,2,1,3,1,3
25,2,2,1,1,2,1,1,1,3,1,4
21,3,1,1,3,1,2,3,2,2,2,2
24,2,2,1,3,1,1,2,1,3,1,4
22,3,3,1,6,1,3,2,2,3,2,3
22,3,3,1,5,2,1,2,2,2,1,2
22,2,2,1,5,1,1,2,1,3,2,3
25,2,2,1,6,1,1,3,1,3,2,3
22,3,3,1,3,1,1,3,2,1,2,3
25,2,2,1,5,1,1,3,2,3,2,3
23,2,2,1,4,1,1,2,2,3,1,2
22,2,2,1,1,1,1,2,2,3,2,3
26,2,2,1,4,1,1,2,2,3,1,4
22,2,2,1,1,1,1,3,2,3,2,4
26,2,2,1,6,1,1,2,2,3,2,4
23,2,2,1,6,1,1,3,2,3,2,4
24,2,2,1,1,1,1,2,2,2,2,2
21,2,2,1,6,1,1,2,2,2,2,2
26,2,2,1,3,1,1,2,2,2,2,2
26,3,3,1,5,1,3,2,2,3,2,2
24,2,2,1,4,1,1,2,1,2,2,3
24,2,2,1,3,1,1,2,2,2,2,3
25,2,2,1,3,1,1,2,2,2,2,3
25,2,2,1,3,1,1,2,2,2,2,2
21,2,2,1,3,2,1,2,1,2,1,2
25,3,3,1,2,1,3,3,2,3,2,3
24,2,2,1,5,1,1,3,2,2,2,3
24,2,2,1,5,1,1,2,2,2,2,2
26,3,3,1,5,1,1,3,2,2,2,3
23,2,2,1,3,1,1,2,2,2,2,4
22,3,3,1,4,1,3,2,2,4,2,4
25,2,2,1,5,1,1,3,2,2,2,3
23,3,3,1,3,1,3,2,2,4,2,4
24,2,2,1,4,1,1,3,2,2,2,3
22,2,2,1,5,1,1,2,2,2,2,3
22,2,2,1,6,1,1,2,2,2,2,2
21,2,2,1,4,1,1,3,2,2,2,4
22,3,3,1,3,1,2,2,1,3,1,4
26,3,3,1,6,1,3,3,2,5,2,3
22,2,2,1,1,1,1,3,2,2,2,4
23,2,2,1,4,1,1,3,2,2,2,3
23,2,2,1,4,1,1,2,1,2,1,3
26,3,3,1,1,1,3,3,2,4,2,3
26,2,2,1,1,1,1,3,2,2,2,2
23,2,2,2,1,1,1,2,1,2,2,2
24,2,2,1,3,1,1,2,2,2,2,2
22,2,2,1,4,1,1,3,2,2,2,2
24,2,2,2,3,1,1,2,2,2,2,4
23,3,3,1,1,1,2,3,2,3,2,4
22,2,2,1,1,1,1,3,2,2,2,2
21,2,2,1,3,2,1,1,1,2,1,2
23,2,2,1,5,1,1,2,2,2,1,4
22,2,2,1,3,1,1,3,2,2,2,4
25,3,1,2,1,1,1,3,2,1,2,2
25,2,2,1,3,1,1,2,2,2,2,2
23,2,2,1,1,1,1,3,2,2,2,4
21,2,2,1,1,1,1,1,2,2,2,2
25,2,2,1,5,1,1,3,2,2,2,3
25,2,2,1,3,1,1,2,2,2,2,2
24,2,2,1,6,1,1,3,2,2,2,3
22,3,1,1,1,1,3,2,2,3,2,2
23,2,2,1,1,1,1,3,2,2,2,2
22,2,2,1,6,1,1,2,2,2,2,2
26,3,1,1,1,1,2,3,2,2,2,2
24,2,2,1,5,1,1,3,2,2,2,3
24,3,3,2,3,1,3,1,2,4,2,2
26,3,1,1,4,1,3,2,2,5,2,3
23,2,2,1,5,1,1,2,2,2,2,4
22,3,2,1,1,1,1,3,2,2,2,3
24,3,2,1,5,1,1,3,2,2,2,2
24,3,2,1,5,1,1,3,2,2,2,4
24,3,3,2,2,1,3,2,2,3,2,2
25,3,2,1,1,2,1,1,2,2,1,3
25,3,1,1,5,1,3,2,2,4,1,2
25,3,2,1,1,1,1,2,2,2,1,4
22,3,2,1,4,1,1,2,2,2,2,3
22,3,3,1,6,1,3,3,2,3,2,2
23,3,1,1,1,1,2,2,2,3,2,4
25,3,3,1,6,1,3,3,2,3,2,2
23,3,3,2,5,1,2,2,2,2,2,4
23,3,2,1,6,1,1,2,2,2,2,3
23,3,2,1,3,1,1,2,2,2,2,4
23,3,3,1,4,1,2,3,2,2,2,3
26,3,2,1,5,1,1,2,2,2,2,3
22,3,2,1,5,2,1,1,1,2,2,2
25,3,3,1,3,1,2,3,2,2,2,2
26,3,3,1,6,1,2,3,2,2,2,3
26,3,2,1,4,1,1,2,1,2,2,4
25,3,2,1,1,1,1,3,2,2,2,3
24,3,2,1,1,1,1,2,2,2,2,3
25,3,2,1,5,2,1,2,1,2,2,3
24,3,3,2,1,1,3,2,2,3,2,2
26,3,2,1,6,1,1,3,2,2,2,3
24,3,2,1,6,1,1,2,2,2,2,4
25,3,3,2,5,1,3,2,2,4,2,3
22,3,1,1,4,1,3,2,2,3,2,3
22,3,3,1,4,1,2,3,2,3,2,3
23,3,2,1,6,1,1,3,2,2,2,3
24,3,2,1,3,1,1,2,2,2,1,4
21,3,3,1,4,1,1,2,1,1,1,4
22,3,2,1,5,1,1,3,2,2,2,4
23,3,3,1,1,1,3,3,2,3,2,3
25,3,2,1,3,1,1,2,2,2,2,4
24,3,2,1,2,2,1,1,1,2,2,3
23,3,2,1,4,1,1,3,2,2,2,4
26,3,2,2,3,1,1,2,2,2,2,2
25,3,2,1,3,1,1,2,2,2,2,2
24,3,2,1,3,2,1,1,2,2,1,3
24,3,4,1,5,2,2,1,2,3,1,2
23,3,1,2,4,2,2,2,2,2,1,3
25,3,2,1,6,1,1,2,2,2,1,4
23,3,2,1,3,1,1,2,1,2,2,4
22,3,3,1,1,1,1,3,2,1,2,3
24,3,3,1,4,1,2,3,2,2,2,4
22,3,3,1,2,1,2,3,1,2,2,4
25,3,3,2,1,1,2,3,2,3,2,4
26,3,3,2,6,2,1,1,1,2,2,3
22,3,2,1,6,1,1,3,2,2,2,4
23,3,2,1,6,1,1,2,2,2,2,4
26,3,2,1,1,1,1,3,2,2,2,3
21,3,3,1,4,1,2,3,2,2,2,3
23,3,2,1,3,1,1,2,2,2,2,2
23,3,2,1,6,1,1,2,2,2,2,4
22,3,3,1,6,1,1,3,2,2,2,4
22,3,3,1,5,2,3,1,1,5,1,4
20,3,3,1,4,2,2,2,1,2,2,4
23,3,3,1,3,1,1,2,2,2,2,4
25,3,2,1,5,2,1,1,2,2,1,2
25,2,2,1,2,2,1,2,1,2,1,3
21,2,2,1,1,2,1,2,1,2,2,4
25,3,2,1,1,1,1,3,2,2,2,3
25,3,3,1,4,1,2,3,2,3,2,4
22,2,2,1,1,2,1,1,1,2,1,4
24,2,2,1,3,1,1,3,1,2,2,3
26,3,3,1,2,1,3,2,2,3,2,2
25,3,2,1,3,1,1,2,2,2,2,3
26,3,2,1,3,1,1,2,1,2,1,2
22,3,2,1,3,1,1,3,2,2,2,3
22,3,2,1,1,1,1,3,2,2,2,2
25,3,2,1,4,1,1,2,2,2,1,3
22,3,2,1,1,2,1,2,1,2,1,2
24,3,2,1,6,1,1,3,2,2,2,4
22,3,2,1,4,1,1,3,2,2,2,4
26,3,2,1,4,1,1,2,2,2,2,2
23,3,2,1,5,1,1,3,2,2,2,2
22,3,2,1,1,1,1,2,2,2,2,2
21,3,2,1,4,1,1,2,2,2,2,3
21,3,2,1,3,1,1,2,2,2,1,4
23,3,2,1,3,1,1,2,2,2,2,4
22,3,3,1,4,1,1,2,2,1,2,2
25,3,3,2,2,1,1,2,2,1,1,3
22,3,2,1,1,1,1,2,2,2,2,3
23,3,2,2,4,1,1,2,2,2,2,2
22,3,2,1,1,1,1,2,2,2,2,2
21,3,3,1,1,1,1,3,2,1,2,3
24,3,2,1,6,1,1,3,2,2,2,3
25,3,2,1,1,1,1,2,2,2,2,4
23,3,2,1,1,1,1,2,2,2,1,2
25,3,2,1,3,1,1,3,2,2,2,4
24,3,2,1,3,2,1,2,2,2,1,4
24,3,3,1,2,1,2,3,2,2,2,4
23,3,3,1,1,1,2,2,2,2,2,4
26,3,3,2,5,1,2,3,2,3,2,3
25,3,3,2,3,1,1,3,2,2,2,4
26,3,3,1,2,1,2,2,1,3,2,2
25,3,3,1,6,1,2,3,2,2,2,2
22,3,2,1,1,1,1,2,2,2,2,3
23,3,2,1,1,1,1,2,2,2,1,3
24,3,2,1,6,1,1,3,2,2,2,2
23,3,3,2,1,1,3,3,2,3,2,2
21,3,3,1,2,1,1,3,1,2,2,3
21,3,2,1,1,1,1,3,2,2,2,2
22,3,2,1,4,1,1,2,2,2,2,4
22,3,2,1,4,1,1,3,2,2,2,4
26,3,2,1,1,1,1,3,2,2,2,4
23,3,2,1,2,1,1,2,1,2,2,4
23,3,3,1,5,1,1,2,2,1,1,4
23,3,2,1,3,1,1,3,2,2,2,4
24,3,2,1,3,2,1,1,1,2,1,3
21,3,2,1,1,1,1,2,2,2,2,3
23,3,2,1,5,1,1,2,2,2,2,2
26,3,3,1,6,1,3,2,1,4,1,3
21,3,2,1,2,1,1,2,1,2,2,4
23,3,2,2,3,1,1,2,1,2,2,4
23,3,1,1,3,1,2,2,2,2,2,3
22,3,1,1,5,1,2,3,2,2,2,4
25,3,3,2,4,1,2,1,1,2,2,4
26,3,2,1,4,2,1,2,1,2,2,2
22,3,2,1,5,2,1,2,2,2,2,4
22,3,2,1,3,1,1,3,2,2,2,4
23,3,3,1,5,1,3,2,2,3,2,3
23,3,2,1,5,1,1,3,2,2,2,4
22,3,3,1,3,1,2,3,2,2,2,4
22,3,3,1,1,2,2,2,2,2,1,3
22,3,2,1,5,1,1,2,2,2,2,3
25,3,2,1,3,1,1,2,2,1,2,3
22,3,3,1,1,1,2,3,2,2,2,4
24,3,2,2,5,1,1,2,2,1,2,2
24,3,1,2,4,1,1,3,2,1,2,2
23,3,1,2,1,1,3,3,2,4,2,3
25,3,2,2,3,1,1,2,2,1,2,4
26,3,2,1,1,1,1,3,1,2,2,4
25,3,2,1,3,1,1,3,2,1,2,3
23,3,3,1,6,1,3,2,2,3,1,2
22,3,2,2,4,1,1,3,1,2,2,3
25,3,2,1,4,2,1,2,1,2,1,4
23,3,2,1,1,1,1,2,2,1,1,4
24,3,2,2,6,1,1,3,2,1,2,4
22,3,2,1,1,1,1,3,2,1,2,3
21,3,1,1,4,1,1,3,2,1,2,3
26,3,2,1,5,1,1,3,2,1,2,2
25,3,2,1,5,1,1,3,2,1,2,4
25,3,3,1,2,1,1,2,2,2,2,4
24,3,2,2,2,1,1,2,1,2,2,2
24,3,2,1,2,1,1,2,1,2,1,3
25,3,3,2,4,1,2,3,2,2,2,3
23,3,3,2,3,1,2,3,2,2,2,3
23,3,3,2,1,1,2,3,2,3,2,2
26,3,3,1,6,1,1,3,1,2,2,2
24,3,2,1,6,2,1,1,1,1,2,2
24,4,2,1,2,1,1,3,2,1,2,2
26,3,3,2,4,2,3,1,2,3,2,4
23,3,1,1,5,1,3,2,2,4,1,2
23,3,3,2,1,1,2,3,2,3,2,4
24,4,2,1,4,1,1,3,2,1,2,4
25,4,2,1,6,1,1,2,2,1,2,2
23,4,2,1,3,1,1,3,2,1,2,2
23,3,3,1,3,1,2,2,2,3,2,3
25,4,2,1,3,1,1,3,2,1,2,4
23,4,2,1,1,1,1,2,2,1,1,2
24,4,2,1,5,1,1,3,2,1,2,3
23,4,2,1,5,2,1,2,2,1,2,3
22,4,2,2,3,1,1,3,2,1,2,2
25,4,2,1,1,2,1,2,2,1,2,2
22,4,2,1,6,1,1,3,2,1,2,2
24,4,2,1,1,1,1,3,2,1,2,2
22,3,2,1,2,1,1,3,1,1,2,4
26,3,3,1,2,1,1,2,2,1,1,2
21,4,2,1,1,1,1,3,2,1,2,4
22,3,3,2,3,1,2,2,2,2,2,4
24,3,3,1,4,1,1,3,2,1,2,4
23,4,2,1,1,1,1,2,2,1,1,4
24,3,2,1,6,2,1,1,1,1,2,4
23,4,2,1,4,1,1,3,2,1,2,3
24,3,3,1,1,1,2,2,2,2,1,3
23,3,2,1,6,2,1,1,1,1,1,3
23,4,2,2,6,1,1,2,2,1,1,2
24,4,2,1,6,1,1,2,2,1,2,3
23,3,1,1,3,1,3,3,2,3,2,3
24,4,2,1,3,1,1,3,2,1,2,2
25,3,2,2,6,2,1,1,1,1,1,3
22,4,2,1,1,1,1,3,2,1,2,4
24,4,2,2,1,1,1,2,2,1,2,2
23,3,2,2,4,1,1,2,1,1,2,3
25,4,2,1,1,1,1,2,2,1,2,2
26,4,2,1,4,1,1,3,2,1,2,4
23,4,2,2,3,1,1,2,2,1,2,2
26,4,2,1,1,1,1,3,2,1,2,4
21,4,2,1,6,1,1,2,2,1,1,2
23,4,2,1,4,1,1,2,2,1,2,4
23,4,2,1,3,1,1,2,2,1,2,2
24,4,2,1,1,1,1,2,2,1,2,4
23,4,2,2,5,1,1,1,2,1,1,4
23,3,3,1,1,1,3,3,2,3,2,3
21,4,2,1,1,1,1,3,2,1,2,4
21,3,3,1,4,1,2,2,2,3,2,4
23,4,2,1,5,1,1,3,2,1,2,2
23,3,3,1,1,1,1,3,2,1,2,4
21,3,3,1,1,1,3,2,2,4,2,2
23,4,2,1,6,1,1,3,2,1,2,2
26,3,1,2,5,1,2,2,2,2,1,3
23,4,2,1,5,1,1,2,2,1,2,2
22,4,2,1,1,1,1,2,2,1,2,4
23,4,2,1,3,1,1,2,2,1,2,2
22,3,3,1,6,1,2,3,2,2,2,3
26,4,2,1,4,1,1,3,1,1,2,3
22,4,2,1,1,1,1,3,2,1,2,3
23,4,2,2,1,2,1,1,2,1,1,2
23,4,2,1,1,1,1,2,2,1,2,3
26,4,2,1,3,1,1,2,1,1,2,2
22,4,2,1,4,1,1,2,2,1,2,3
24,3,3,2,6,1,2,2,2,2,2,4
26,4,2,1,1,1,1,2,2,1,1,2
26,3,3,2,5,1,2,3,2,2,2,3
23,4,2,1,4,1,1,2,2,1,1,3
24,4,2,1,1,2,1,2,1,1,1,2
25,4,2,2,1,1,1,3,2,1,2,3
25,4,2,1,6,1,1,2,2,1,2,3
21,4,2,1,1,1,1,2,2,1,2,3
22,3,3,1,4,1,3,2,2,4,2,3
22,3,3,1,3,1,2,3,2,3,2,4
24,4,2,1,6,1,1,3,2,1,2,3
25,4,2,1,4,1,1,3,2,1,2,2
26,3,3,2,2,1,3,2,2,4,2,2
24,4,2,1,3,1,1,3,2,1,2,2
23,4,2,1,4,1,1,3,2,1,2,4
25,4,2,2,5,1,1,2,2,1,2,4
23,3,3,1,1,1,3,3,2,5,2,2
23,4,2,1,6,2,1,1,1,1,1,4
23,4,2,2,1,1,1,3,2,1,2,3
22,3,3,1,6,1,3,2,2,4,2,2
25,4,2,1,5,1,1,3,2,1,2,2
22,4,2,1,2,1,1,2,1,1,2,2
23,4,2,1,6,1,1,3,2,1,2,3
21,4,2,1,1,1,1,3,2,1,2,2
26,4,2,1,6,1,1,3,2,1,2,4
24,4,2,2,5,1,1,2,2,1,1,4
23,3,3,1,6,1,2,2,2,2,2,4
26,4,2,1,5,1,1,2,2,1,1,4
26,4,2,1,4,1,1,2,2,1,2,4
23,3,3,1,5,1,3,2,1,4,2,4
24,4,2,1,6,1,1,3,2,1,2,3
25,4,2,1,4,1,1,2,2,1,2,2
22,3,3,1,3,1,2,3,2,2,2,2
22,3,3,1,3,1,1,2,1,2,2,2
25,3,3,2,1,1,1,3,2,1,2,2
23,3,3,2,5,1,2,3,2,2,2,4
24,3,3,1,3,1,2,2,2,2,2,4
22,4,2,1,4,1,1,2,2,1,2,3
24,3,3,1,1,1,2,2,2,2,2,3
25,4,2,1,6,1,1,2,2,1,2,3
22,3,3,1,1,1,3,3,2,3,2,3
23,4,2,1,1,2,1,2,2,1,1,4
22,4,2,1,1,1,1,2,2,1,2,4
22,3,3,1,3,1,2,2,2,2,2,4
24,4,2,1,6,1,1,2,2,1,2,4
26,4,2,1,1,1,1,2,2,1,2,2
26,3,3,1,1,1,2,2,1,2,2,3
23,4,2,1,1,1,1,3,2,1,2,2
24,4,2,2,3,1,1,3,2,1,2,2
24,4,2,1,1,1,1,3,2,1,2,4
23,4,2,2,1,1,1,2,2,1,2,3
23,3,1,1,5,1,3,2,2,4,2,4
24,3,3,1,1,1,2,3,2,2,2,4
26,4,2,1,5,1,1,3,2,1,2,2
22,3,3,1,3,1,2,3,2,2,2,3
23,4,2,1,2,1,1,3,1,1,2,4
24,3,3,2,6,1,1,3,2,2,2,3
22,3,3,1,6,1,1,3,2,1,2,2
21,3,1,1,1,1,1,2,2,1,2,2
26,3,3,1,3,2,1,1,1,2,2,3
26,5,2,1,1,1,1,2,2,1,2,3
24,5,2,1,6,1,1,2,1,1,2,3
26,5,2,2,2,1,1,2,2,1,1,3
21,3,3,1,4,1,2,3,2,2,2,2
26,5,2,1,2,2,1,2,1,1,2,3
24,2,2,2,6,1,1,2,1,3,1,2
24,3,3,1,5,1,3,3,2,3,2,3
23,2,2,1,4,1,1,1,2,2,2,4
22,2,2,1,4,2,1,1,1,2,1,4
23,3,3,2,3,1,1,3,2,2,2,2
25,2,2,1,4,1,1,2,2,2,1,2
24,2,2,1,4,2,1,1,1,2,2,2
26,3,2,1,4,1,1,3,2,2,2,4
26,3,2,1,1,2,1,1,1,2,2,3
25,3,2,1,3,2,1,1,2,2,2,3
25,2,2,1,6,1,1,2,1,4,1,4
22,2,2,1,3,1,1,2,2,3,2,3
23,3,1,2,3,1,2,3,2,2,2,4
23,3,3,1,5,1,1,3,2,2,2,4
26,3,3,1,3,1,1,3,2,1,2,3
25,3,3,1,3,1,1,3,2,1,2,3
23,3,3,2,4,1,1,2,2,2,2,4
26,3,3,1,2,1,2,2,2,2,2,2
26,2,2,1,6,1,1,2,1,3,2,4
24,2,2,1,2,2,1,1,1,3,1,3
26,2,2,1,3,1,1,3,2,2,2,4
23,4,2,1,6,1,1,3,2,1,2,2
22,2,2,1,2,2,1,1,1,4,2,4
22,2,2,1,4,1,1,2,1,3,2,2
21,2,2,1,4,1,1,3,2,3,2,4
24,2,2,1,6,1,1,3,2,2,2,3
21,3,3,1,1,1,1,2,2,1,1,4
22,3,2,1,4,1,1,3,2,2,2,4
23,3,3,1,3,1,2,3,2,2,2,3
23,3,3,2,1,1,2,2,2,2,2,2
26,3,3,1,1,1,2,3,2,2,2,2
22,3,3,1,5,2,3,1,1,5,1,2
23,3,2,1,5,1,1,2,2,2,2,2
23,3,2,2,3,1,1,2,1,2,2,4
22,3,3,1,6,1,2,2,2,2,1,2
24,3,2,2,6,2,1,1,1,1,1,3
22,4,2,1,1,1,1,1,2,1,1,3
24,4,2,2,1,2,1,1,2,1,1,2
23,3,3,2,5,1,3,3,2,4,2,3
26,4,2,2,6,1,1,2,2,1,2,4
24,3,2,1,4,1,1,2,2,2,2,4
24,3,2,1,6,1,1,3,2,2,2,4
22,3,3,1,4,1,2,3,2,2,2,2
22,3,3,2,1,1,3,3,2,4,2,3
22,2,2,1,1,1,1,3,1,4,2,4
25,3,3,1,4,1,1,2,2,2,2,3
25,3,3,2,6,1,1,2,2,1,2,3
24,3,3,1,5,1,1,2,2,1,2,2
23,2,2,1,5,1,1,3,1,3,2,4
25,2,2,1,4,1,1,3,1,3,2,3
22,3,3,1,6,1,2,2,2,2,2,3
24,3,1,1,1,1,1,3,2,1,2,4
25,3,1,1,3,1,3,3,2,3,2,2
24,3,3,1,2,1,3,3,2,4,2,2
24,3,3,1,6,1,1,2,2,1,2,4
23,3,3,1,3,1,1,2,2,1,2,4
21,2,2,1,4,1,1,2,1,3,2,2
24,3,3,1,2,1,1,3,2,1,2,2
23,2,2,1,6,1,1,2,1,3,2,3
24,2,2,2,1,1,1,3,1,3,2,2
24,3,3,1,6,1,3,3,2,3,2,4
25,2,2,1,1,1,1,2,1,3,2,2
26,3,1,1,3,1,1,2,2,2,2,2
21,2,2,1,4,1,1,2,2,3,2,2
24,3,3,2,3,1,1,2,2,1,2,4
21,2,2,1,3,1,1,3,2,3,2,2
21,2,2,1,4,1,1,2,2,3,2,2
25,2,2,1,6,1,1,3,2,3,2,4
25,2,2,1,1,2,1,1,1,3,1,4
22,3,3,2,4,1,3,3,2,3,2,4
23,2,2,1,1,2,1,1,1,3,2,2
23,2,2,1,3,2,1,1,1,2,1,3
23,3,3,1,1,1,1,2,1,2,2,2
23,3,3,1,4,1,2,2,2,2,2,2
21,2,2,1,1,1,1,3,2,2,2,4
26,2,2,2,3,1,1,2,2,2,2,4
24,3,3,1,6,1,2,2,2,2,2,2
26,2,2,1,5,1,1,3,2,2,2,3
22,2,2,1,1,1,1,2,2,2,2,2
25,3,3,1,2,1,1,3,2,2,2,2
22,2,2,1,6,1,1,3,2,2,2,2
23,2,2,1,3,1,1,3,2,2,2,4
23,2,2,1,3,1,1,3,1,2,2,2
25,3,2,2,5,1,1,3,2,2,2,3
23,3,2,1,1,1,1,3,2,2,2,4
22,3,3,1,1,1,1,3,2,2,2,2
22,3,2,1,4,1,1,3,2,2,2,3
23,3,2,1,6,2,1,1,1,2,2,4
21,3,3,1,6,1,2,3,2,3,2,4
22,3,2,1,5,1,1,2,2,2,1,2
23,3,2,1,4,1,1,2,2,2,2,2
24,3,2,1,3,1,1,2,2,2,1,3
22,3,3,1,3,1,2,2,2,3,2,3
21,3,2,1,1,1,1,3,2,2,2,2
26,3,3,1,4,1,3,3,1,4,2,4
22,3,2,1,1,1,1,3,2,2,2,3
24,3,2,1,5,1,1,3,2,2,2,4
22,3,1,1,3,1,2,3,2,2,2,3
22,3,2,1,5,1,1,2,2,2,1,2
23,3,3,1,3,1,2,3,2,2,2,3
24,3,2,1,4,1,1,3,2,2,2,4
24,3,1,1,4,1,2,3,2,2,2,3
22,3,2,1,3,1,1,3,1,2,2,2
24,3,2,2,3,1,1,2,2,2,2,2
23,3,2,1,1,1,1,3,2,2,2,2
24,3,3,1,6,2,2,2,1,3,2,2
24,3,2,1,5,1,1,2,2,2,2,4
22,3,2,1,1,1,1,2,2,2,2,4
22,3,2,1,1,1,1,3,2,2,2,3
26,3,2,1,3,1,1,3,2,2,2,2
25,3,1,1,1,2,3,2,2,4,2,4
24,3,2,2,3,1,1,2,2,2,2,3
22,3,3,1,5,1,1,2,2,2,2,4
24,3,2,1,1,2,1,2,1,2,2,3
23,3,2,1,4,1,1,2,2,2,2,4
25,3,3,1,3,1,2,2,2,2,1,4
21,3,2,1,5,2,1,1,1,2,2,2
24,3,3,1,3,1,1,3,2,1,2,2
26,3,3,2,2,1,2,3,2,2,2,2
21,3,2,1,6,1,1,3,2,2,2,4
22,3,2,1,6,1,1,2,2,2,2,4
21,3,3,1,6,1,2,3,2,2,2,3
26,3,2,1,4,1,1,3,2,2,2,2
25,3,2,1,3,1,1,3,2,2,2,2
25,3,2,1,6,1,1,3,2,2,2,3
26,3,2,1,3,1,1,3,2,2,2,3
23,3,2,1,5,1,1,3,2,2,2,4
21,3,2,1,6,1,1,2,1,2,2,3
26,3,2,2,6,1,1,2,2,1,2,4
23,3,2,1,6,1,1,2,2,1,2,4
22,3,2,1,4,1,1,3,1,2,2,3
21,3,3,1,3,1,1,3,2,1,2,4
24,3,1,1,5,1,1,3,2,1,2,3
23,4,2,1,1,1,1,3,2,1,2,4
24,4,2,1,4,1,1,3,2,1,2,4
26,3,1,1,2,1,3,2,2,3,2,4
22,3,2,1,2,1,1,3,1,1,2,2
22,3,3,1,4,2,2,1,1,3,2,2
23,3,3,1,4,1,1,3,2,2,2,3
24,3,1,1,4,1,1,2,2,1,2,2
24,4,2,1,6,1,1,3,2,1,2,2
23,4,2,1,5,1,1,3,2,1,2,3
22,4,2,1,6,1,1,3,2,1,2,4
24,3,3,1,5,1,3,2,2,4,1,2
26,4,2,2,3,1,1,3,2,1,2,2
23,4,2,1,3,1,1,2,2,1,1,3
25,3,1,1,1,1,2,2,2,3,2,4
23,4,2,1,2,1,1,3,1,1,2,2
23,4,2,2,5,1,1,2,2,1,2,2
22,3,3,1,4,1,2,3,2,3,2,3
25,4,2,2,2,1,1,2,1,1,2,2
24,4,2,1,4,1,1,2,2,1,2,4
25,4,2,2,1,1,1,3,2,1,2,2
25,4,2,2,5,1,1,2,2,1,2,2
25,4,2,1,6,1,1,3,2,1,2,3
